"","date","predictedWaterT","observedWaterT"
"1",1979-01-07,23.3269395691195,NA
"2",1979-01-08,23.4816689969724,NA
"3",1979-01-09,23.8084999099214,NA
"4",1979-01-10,23.8129636116276,NA
"5",1979-01-11,23.6719203854931,NA
"6",1979-01-12,23.3081889897576,NA
"7",1979-01-13,23.0923299442363,NA
"8",1979-01-14,23.1143701231131,NA
"9",1979-01-15,22.7054550863209,NA
"10",1979-01-16,22.4993193081193,NA
"11",1979-01-17,22.3265278585462,NA
"12",1979-01-18,22.5043147506817,NA
"13",1979-01-19,22.9084001212253,NA
"14",1979-01-20,22.7599373387572,NA
"15",1979-01-21,22.2098325755501,NA
"16",1979-01-22,22.2093112986693,NA
"17",1979-01-23,22.1761032727167,NA
"18",1979-01-24,22.6896556938242,NA
"19",1979-01-25,22.5369147529579,NA
"20",1979-01-26,21.9275637849762,NA
"21",1979-01-27,21.8922079916593,NA
"22",1979-01-28,22.2339978518187,NA
"23",1979-01-29,22.4480892637283,NA
"24",1979-01-30,22.548549499423,NA
"25",1979-01-31,22.5998090925062,NA
"26",1979-02-01,23.015635816942,NA
"27",1979-02-02,23.5767842862501,NA
"28",1979-02-03,23.5195851470986,NA
"29",1979-02-04,23.2381417987774,NA
"30",1979-02-05,23.0041465201855,NA
"31",1979-02-06,22.8576992849775,NA
"32",1979-02-07,22.613136889022,NA
"33",1979-02-08,22.2054552316168,NA
"34",1979-02-09,21.7993784923688,NA
"35",1979-02-10,22.2980263813496,NA
"36",1979-02-11,22.8626854282937,NA
"37",1979-02-12,23.0938589832419,NA
"38",1979-02-13,22.9303899760405,NA
"39",1979-02-14,22.4720035887741,NA
"40",1979-02-15,21.996885602783,NA
"41",1979-02-16,21.0596220832235,NA
"42",1979-02-17,20.1747105676449,NA
"43",1979-02-18,19.4449268404954,NA
"44",1979-02-19,19.2250563660028,NA
"45",1979-02-20,19.5769459332873,NA
"46",1979-02-21,20.2980635316087,NA
"47",1979-02-22,21.0082183192868,NA
"48",1979-02-23,21.7495538788755,NA
